Wkr-Nr.;Land;Wahlkreisname;Wahlberechtigte;Wähler;Ungültige;Ungültige;Gültige;Gültige;CDU;CDU;SPD;SPD;FDP;FDP;DIE LINKE;DIE LINKE;GRÜNE;GRÜNE;CSU;CSU;PIRATEN;PIRATEN;NPD;NPD;Tierschutzpartei;Tierschutzpartei;REP;REP;ÖDP;ÖDP;FAMILIE;FAMILIE;Bündnis 21/RRP;Bündnis 21/RRP;RENTNER;RENTNER;BP;BP;PBC;PBC;BüSo;BüSo;DIE VIOLETTEN;DIE VIOLETTEN;MLPD;MLPD;Volksabstimmung;Volksabstimmung;PSG;AfD;AfD;BIG;BIG;pro Deutschland;pro Deutschland;DIE RECHTE;DIE FRAUEN;FREIE WÄHLER;FREIE WÄHLER;Nichtwähler;PARTEI DER VERNUNFT;PARTEI DER VERNUNFT;Die PARTEI;Die PARTEI;Bergpartei;BGD;DKP;NEIN!;WGr/EB
;;;;;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen
42;NI;Stadt Hannover II;193157;141215;1871;1925;139344;139290;47180;41684;59686;48292;2050;5983;8657;11129;14229;21559;0;0;2937;3113;803;736;0;1171;0;80;0;0;0;0;0;0;0;0;0;0;0;146;0;0;0;0;0;95;0;0;0;3802;4749;0;0;0;155;0;0;0;398;0;0;0;0;0;0;0;0;0;0
43;NI;Hannover-Land I;232941;176671;1658;1530;175013;175141;77509;72286;67440;57922;4504;8725;6220;7931;8735;14308;0;0;2232;2516;1619;1487;0;1346;0;185;0;0;0;0;0;0;0;0;0;0;0;213;0;0;0;0;0;37;0;0;0;5393;7038;252;0;0;210;0;0;1109;937;0;0;0;0;0;0;0;0;0;0
44;NI;Celle – Uelzen;215285;157058;1562;1361;155496;155697;75369;68568;53237;46931;2091;6478;5655;7085;9563;12071;0;0;0;2673;1677;1511;0;1173;0;149;0;0;0;0;0;0;0;0;0;0;0;183;0;0;0;0;0;27;0;0;0;6591;7722;0;0;0;144;0;0;1313;982;0;0;0;0;0;0;0;0;0;0
45;NI;Gifhorn – Peine;217256;161941;1788;1473;160153;160468;67368;64451;69259;57875;2266;5648;6810;7575;7666;11855;0;0;3063;2833;1937;1524;0;1242;0;134;0;0;0;0;0;0;0;0;0;0;850;616;0;0;0;0;0;46;0;0;0;0;5786;0;0;0;212;0;0;934;671;0;0;0;0;0;0;0;0;0;0
46;NI;Hameln-Pyrmont – Holzminden;191980;137839;2075;1943;135764;135896;53726;50937;57484;49411;2496;5985;6308;7201;8202;11428;0;0;2577;2152;0;1271;0;1031;0;104;0;0;0;0;0;0;0;0;0;0;0;185;0;0;0;0;0;30;0;0;0;4971;5550;0;0;0;150;0;0;0;461;0;0;0;0;0;0;0;0;0;0
47;NI;Hannover-Land II;240409;182963;2067;1672;180896;181291;75761;69644;78433;65169;2567;7228;7350;8669;9422;16212;0;0;3144;2737;2247;1499;0;1429;0;172;0;0;0;0;0;0;0;0;0;0;0;168;0;0;0;0;0;53;0;0;0;0;6958;0;0;0;309;0;0;1972;1044;0;0;0;0;0;0;0;0;0;0
48;NI;Hildesheim;219571;164796;2451;1799;162345;162997;68653;63041;66986;59319;2489;5589;7909;8120;13771;14587;0;0;0;2937;2537;1482;0;1208;0;92;0;0;0;0;0;0;0;0;0;0;0;151;0;0;0;0;0;31;0;0;0;0;5601;0;0;0;384;0;0;0;455;0;0;0;0;0;0;0;0;0;0
49;NI;Salzgitter – Wolfenbüttel;208990;152599;2208;2618;150391;149981;55720;53593;70080;58881;1582;5142;6524;8461;6630;11013;0;0;2119;2228;1940;1796;0;1286;0;208;0;0;0;0;0;0;0;0;0;0;0;167;0;0;0;0;0;39;0;0;0;4548;5938;0;0;0;183;0;0;1248;1046;0;0;0;0;0;0;0;0;0;0
50;NI;Braunschweig;193799;143752;1649;1467;142103;142285;49710;48419;61952;47741;3243;6214;7119;9527;10117;17614;0;0;4012;4169;1032;1038;0;1295;0;97;0;0;0;0;0;0;0;0;0;0;0;128;0;0;0;0;116;100;0;0;0;3894;5092;0;0;0;127;0;0;908;724;0;0;0;0;0;0;0;0;0;0
51;NI;Helmstedt – Wolfsburg;187425;133269;1927;1494;131342;131775;58760;54188;50826;45837;1839;4796;5731;6440;6666;9004;0;0;2972;2460;2599;1840;0;1182;0;44;0;0;0;0;0;0;0;0;0;0;331;254;0;0;0;0;0;38;0;0;0;0;4892;0;0;0;157;0;0;1049;643;0;0;0;0;0;0;0;0;0;569
52;NI;Goslar – Northeim – Osterode;208311;149429;2599;2165;146830;147264;61723;55775;62209;55985;2249;6099;6805;7475;7833;10141;0;0;2373;2141;1967;1493;0;1086;0;93;0;0;0;0;0;0;0;0;0;0;0;134;0;0;0;0;0;33;0;0;0;0;5733;0;0;0;241;0;0;1402;835;0;0;0;0;0;0;0;0;0;269
53;NI;Göttingen;222102;165814;1974;1511;163840;164303;62558;59000;66192;54410;2633;6667;8581;10432;16740;20076;0;0;3219;3173;1730;1280;0;1178;0;93;0;0;0;0;0;0;0;0;0;0;0;145;0;0;0;0;0;67;0;0;0;0;6121;0;0;0;234;0;0;2187;1427;0;0;0;0;0;0;0;0;0;0
903;NI;Land;6117473;4491281;53723;46021;4437558;4445260;1946518;1825592;1699556;1470005;82291;185647;189645;223935;299885;391901;0;0;60736;74601;41103;37415;0;33809;0;2786;0;0;1022;0;511;0;0;0;0;0;2081;5664;0;0;0;0;259;1267;0;0;0;82424;165875;252;0;0;4990;0;0;29234;21773;0;0;0;0;0;0;0;0;0;2041
54;HB;Bremen I;256547;184512;2128;1816;182384;182696;55198;55254;69161;60502;4171;7168;15186;18502;25342;25448;0;0;4849;4756;1403;1400;0;1641;0;0;0;0;0;0;0;119;0;0;0;0;0;0;0;0;0;0;207;87;0;0;0;5336;6263;0;0;0;199;0;0;0;398;0;0;0;1531;959;0;0;0;0;0
55;HB;Bremen II – Bremerhaven;227276;148510;2083;1794;146427;146716;42067;41205;64276;56702;2189;4036;13335;14782;12325;14566;0;0;3982;3699;2393;2240;0;1824;0;0;0;0;0;0;432;276;0;0;0;0;0;0;0;0;0;0;0;69;0;0;0;5428;6044;0;0;0;267;0;0;0;416;0;0;0;0;590;0;0;0;0;0
904;HB;Land;483823;333022;4211;3610;328811;329412;97265;96459;133437;117204;6360;11204;28521;33284;37667;40014;0;0;8831;8455;3796;3640;0;3465;0;0;0;0;0;0;432;395;0;0;0;0;0;0;0;0;0;0;207;156;0;0;0;10764;12307;0;0;0;466;0;0;0;814;0;0;0;1531;1549;0;0;0;0;0
56;BB;Prignitz – Ostprignitz-Ruppin – Havelland I;180670;114988;2406;1897;112582;113091;37520;40787;33293;28483;1454;2526;27179;25496;3123;3925;0;0;2955;2179;3404;2781;0;0;0;143;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;95;0;0;0;0;5400;0;0;0;420;0;0;98;856;0;0;0;0;0;0;0;22;0;3534
57;BB;Uckermark – Barnim I;188083;120636;2272;2053;118364;118583;45206;43017;27042;26578;1771;2519;32168;28513;3561;4516;0;0;3007;2425;4042;3125;0;0;0;191;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;118;0;0;0;0;6075;0;0;0;393;0;0;1477;1113;0;0;0;0;0;0;0;0;0;90
